Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Brian Warren,UTA,33,29.9,15.4,5.3,13.4,0.397,1.6,5.2,0.304,3.1,3.9,0.805,0.5,2.2,2.6,3.6,1.2,0.1,2.2,3,2019
Brian Williams,JSU,28,35.8,13.1,4.9,12.1,0.402,1.8,5,0.362,1.6,2.7,0.579,0.5,1.9,2.4,4.3,1.6,0.2,2.4,1.4,2013
Brice Johnson,UNC,40,28,17,6.7,10.9,0.614,0,0,0,3.6,4.6,0.783,2.9,7.5,10.4,1.5,1.1,1.5,1.8,2.7,2016
Brock Motum,WSU,32,35.3,18.7,6.8,14.8,0.456,1.4,4.2,0.336,3.8,5.1,0.741,1.9,4.4,6.3,1.1,0.6,0.8,2.4,2.3,2013
Bronson Koenig,UW,36,31.4,14.5,5,12,0.419,2.9,7.3,0.393,1.6,1.8,0.905,0.2,2,2.1,2,0.6,0.3,1.4,1.7,2017
Bruce Beckford,NC A&T,32,33.2,15.2,5.2,11.8,0.442,0.8,3,0.268,3.9,4.8,0.822,2.2,5.1,7.3,1.4,0.9,0.7,2.8,2.7,2015
Bryan Dougher,SB,32,29.9,13.2,4.3,11.9,0.361,2.8,7.7,0.362,1.8,2.3,0.787,0.7,1.9,2.5,1.6,0.9,0.1,1.3,1.8,2012
Bryant Crawford,WF,31,31.8,16.9,5.3,12.8,0.413,1.8,5.1,0.358,4.5,5.1,0.868,0.4,2.5,2.9,4.9,1.5,0.2,3.3,2.4,2018
Bryant Mbamalu,LA,29,32.8,13.8,4.8,10.3,0.466,1.7,5,0.34,2.5,3.2,0.785,1.1,2.6,3.7,1.4,0.7,0,1.7,2.6,2013
Bryant McIntosh,NU,36,34.2,14.8,5.5,13.7,0.404,1.2,3.8,0.307,2.6,3,0.87,0.3,2.5,2.8,5.2,0.7,0.1,2.7,2.1,2017
Bryce Aiken,HAR,26,27.8,14.5,4.5,11.4,0.395,2.3,6.5,0.349,3.2,3.7,0.884,0.4,1.8,2.2,2.8,0.8,0,2.5,2.4,2017
Bryce Alford,UCLA,36,33,15.5,4.8,10.8,0.447,3.2,7.5,0.43,2.7,3.3,0.821,0.3,2.2,2.5,2.6,0.5,0.1,1,1.4,2017
Bryce Brown,AU,40,32,15.9,5.1,11.7,0.437,3.5,8.6,0.41,2.2,2.7,0.807,0.5,1.6,2.1,1.9,1.1,0.1,1.7,1.4,2019
