Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Christian Jones,USNA,.571,.555,159.1,2.7,12.1,7.5,5.5,8.8,2.2,0.9,18.4,-1.2,1.3,113.5,100.0,13.5,144.9,15.3,2023
A.J. George,LBSU,.612,.593,165.5,4.7,8.6,6.7,7.3,11.8,1.5,1.9,14.3,-0.8,1.5,121.4,103.2,18.2,214.3,15.3,2023
Devon Savage,MERRI,.558,.554,139.6,2.5,14.6,8.6,5.7,8.6,4.3,2.5,15.3,-0.7,1.2,105.5,89.9,15.6,191.8,15.3,2023
C.J. Delancy,LIU,.536,.518,112.3,9.9,15.9,12.9,7.5,14.2,1.3,6.6,15.8,-2.0,1.3,105.4,106.0,-0.6,142.4,15.3,2023
Brayon Freeman,URI,.463,.423,141.3,2.8,9.3,6.0,24.5,13.0,2.3,0.2,30.3,-1.5,1.1,96.1,103.4,-7.2,136.4,15.3,2023
Nick Kern,VCU,.629,.628,147.5,5.5,13.7,9.7,9.7,17.9,2.3,1.6,15.1,-2.1,1.4,113.0,93.8,19.2,149.0,15.3,2023
Dane Goodwin,ND,.530,.506,165.3,3.7,14.1,8.9,11.2,8.1,1.4,0.8,18.1,1.2,1.1,110.0,110.6,-0.7,272.1,15.3,2023
Darius Johnson,UCF,.489,.446,151.5,2.8,9.8,6.3,28.0,19.3,4.3,0.3,21.6,1.3,1.1,100.9,96.4,4.5,187.8,15.3,2023
Brevin Galloway,CLEM,.580,.530,163.2,1.1,8.3,5.0,14.5,14.2,1.7,0.8,20.5,-0.3,1.3,110.3,101.6,8.7,204.5,15.3,2023
Ben Vander Wal,FRMN,.602,.564,145.7,10.4,13.3,11.9,3.9,12.2,1.6,1.8,14.2,-1.8,1.6,125.2,103.0,22.2,150.4,15.3,2023
Zek Montgomery,BRDLY,.538,.523,150.0,3.0,15.4,9.1,8.7,15.2,2.4,2.4,20.3,-2.8,1.2,101.7,95.8,5.9,161.1,15.3,2023
Dusan Neskovic,DART,.609,.581,166.7,2.3,13.8,8.1,9.8,19.2,0.7,0.4,24.9,-6.2,1.4,103.1,106.9,-3.7,130.1,15.3,2023
Ryan Langborg,PRIN,.560,.525,157.8,1.2,10.0,5.7,9.9,12.3,1.4,1.8,20.9,-1.6,1.2,109.2,99.9,9.2,220.1,15.3,2023
Chris Nix,UTM,.552,.554,106.4,11.7,15.8,13.8,12.1,16.0,1.1,3.1,14.1,0.0,1.3,115.8,102.0,13.8,230.4,15.3,2023
Caleb Love,UNC,.491,.452,144.3,1.2,10.7,6.0,16.7,12.5,1.7,0.6,27.1,-1.4,1.1,100.1,102.4,-2.2,248.8,15.3,2023
Julian Larry,INDST,.672,.634,187.5,2.2,10.5,6.6,21.8,27.7,2.7,0.7,14.5,0.8,1.6,114.4,97.3,17.1,257.3,15.3,2023
Justin Powell,WSU,.556,.538,164.5,1.3,13.7,7.3,17.1,9.2,1.2,0.5,16.2,3.0,1.2,120.3,103.6,16.7,286.4,15.3,2023
Davon Barnes,TEXSO,.527,.472,149.6,4.9,11.4,8.1,13.1,15.8,1.5,0.6,23.0,-3.3,1.3,102.7,104.0,-1.3,229.6,15.3,2023
Jaxon Knotek,AMERU,.576,.552,154.9,5.2,17.2,11.3,7.3,16.8,2.2,1.9,18.8,-3.4,1.3,105.1,104.4,0.6,116.9,15.3,2023
Ben Vander Plas,UVA,.504,.500,122.4,5.1,19.7,12.3,11.6,8.6,2.1,1.9,18.4,1.1,1.1,105.5,96.0,9.5,189.1,15.2,2023
Yuto Yamanouchi,LAMAR,.478,.413,132.7,14.3,23.0,18.7,2.7,14.4,0.6,4.3,19.7,-4.8,1.2,101.7,105.6,-3.9,174.1,15.2,2023
Will Johnston,UTRGV,.604,.548,171.1,1.3,6.7,4.1,20.9,17.1,0.5,0.2,21.4,-0.2,1.4,114.5,109.8,4.7,242.0,15.2,2023
Miles Brown,OHIO,.589,.559,162.0,2.4,10.2,6.2,10.7,15.9,2.4,0.8,17.0,-1.2,1.4,115.2,105.2,10.0,224.4,15.2,2023
Langston Love,BAYL,.546,.514,148.7,6.9,10.1,8.5,9.2,10.8,1.4,0.9,19.6,-1.0,1.3,116.3,104.8,11.5,110.6,15.2,2023
Dale Bonner,BAYL,.580,.527,155.8,1.6,6.4,4.0,24.7,22.5,4.2,0.6,13.6,3.4,1.5,116.8,100.2,16.7,144.6,15.2,2023
Steve Settle,HWRD,.541,.482,153.4,4.5,19.0,11.9,6.9,16.8,2.2,3.5,20.2,-4.3,1.3,103.5,96.8,6.7,258.0,15.2,2023
Tanner Thomas,HEART,.547,.527,159.5,9.9,16.1,13.0,6.8,17.6,1.6,2.4,18.5,-4.2,1.2,103.0,101.1,1.9,168.8,15.2,2023
Keonte Kennedy,MEMP,.564,.558,146.3,5.6,7.7,6.7,6.1,11.3,2.7,0.6,19.1,-2.1,1.2,111.6,101.9,9.7,129.1,15.2,2023
Michael Forrest,FAU,.531,.508,150.0,1.9,10.4,6.4,14.0,11.7,1.7,0.4,21.5,0.2,1.2,109.4,97.7,11.8,178.4,15.2,2023
