Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
E.J. Singler,UO,34,30.9,13.6,4.4,9.5,0.467,1.4,3.9,0.368,3.2,3.6,0.909,1.3,4.3,5.6,2.2,0.6,0.4,1.9,2.6,2012
Saah Nimley,CSU,31,31.2,13.5,4.1,11.5,0.352,2,5.9,0.337,3.4,4.7,0.721,1,1.8,2.8,3.9,0.7,0.1,2.6,2.2,2012
Lazeric Jones,UCLA,33,33.5,13.5,4.8,11,0.431,1.5,3.8,0.378,2.6,3.5,0.739,0.5,3,3.5,4.1,1.8,0.2,2.6,2.1,2012
Jeremiah Bowman,LONG,22,35.3,13.5,4.6,9.7,0.477,0.4,1.6,0.257,3.9,5.6,0.691,1,2.5,3.5,6,1.5,0,2.7,2.7,2012
Mike Dixon,MU,35,26.6,13.5,4.4,9,0.487,1.4,3.9,0.368,3.3,3.8,0.879,0.3,1.5,1.8,3.3,1.2,0.1,1.6,1.8,2012
Kannon Burrage,UTSA,32,24.8,13.5,4.2,9.7,0.434,1.3,3.5,0.387,3.8,4.8,0.789,0.9,2.4,3.3,1.3,1,0,1.7,1.9,2012
Sean McGonagill,BU,29,36,13.5,4.3,12.1,0.36,1.9,5.4,0.354,2.9,3.9,0.743,0.6,3.8,4.3,5.4,1.2,0,3.6,2.3,2012
Chris Perez,STET,29,31.1,13.5,5.1,11.2,0.455,1.1,3.4,0.323,2.2,3.5,0.627,1.9,2.6,4.5,1.7,1.1,0,2,2.6,2012
Phillip Taylor,FIU,29,31.1,13.5,4.1,10.6,0.388,2.1,5.4,0.397,3.2,4,0.793,0.4,1.6,2,3,1,0,2.7,2.2,2012
Alvin Abreu,UNH,29,35.7,13.5,4.9,12.4,0.396,1.9,5.2,0.355,1.9,2.7,0.692,0.8,2.8,3.6,1.6,1,0.1,2.5,1.6,2012
Darrius Morrow,ECU,31,31.7,13.5,5.2,9.5,0.542,0,0,0,3.2,4.7,0.673,1.6,4.4,5.9,1.5,0.9,1.1,2.3,3.1,2012
Ben Dickinson,BU,30,31.5,13.5,5,12.3,0.409,0.4,1.7,0.216,3.1,4.6,0.672,1.8,4.3,6.1,2.5,0.6,0.6,3.1,3.2,2012
Trey Sumler,WCU,35,36.2,13.5,4.3,10.2,0.42,1.4,3.6,0.386,3.5,4.2,0.831,1.1,3.8,4.9,4.1,1.4,0.1,3.3,2.2,2012
Kyle Fogg,U of A,35,32.1,13.5,4,9.5,0.42,2.1,4.6,0.444,3.4,4.3,0.789,0.5,3.3,3.7,2.2,1.1,0.4,1.8,2.2,2012
Perry Jones,BU,33,30.7,13.5,5.5,11,0.5,0.3,1,0.303,2.2,3.1,0.696,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,2012
Sean Johnson,DUQ,31,25.8,13.5,4.4,10.3,0.429,1.4,3.7,0.368,3.3,4.3,0.767,0.7,2.5,3.2,1.4,0.8,0.3,1.8,2.2,2012
